Response	Gene ENSEMBL ID
LBW242	ENSG00000125285
LBW242	ENSG00000135272
LBW242	ENSG00000141977
LBW242	ENSG00000132911
LBW242	LOC100144602
LBW242	LOC100506769
LBW242	ENSG00000147509
LBW242	LOC100507173
LBW242	ENSG00000187918
LBW242	ENSG00000165898
LBW242	ENSG00000168806
LBW242	ENSG00000168795
LBW242	ENSG00000129235
LBW242	PPPDE2
LBW242	ENSG00000102935
LBW242	ENSG00000099860
LBW242	ENSG00000165246
LBW242	ENSG00000203965
LBW242	HCG8
LBW242	ENSG00000138398
LBW242	ENSG00000237441
LBW242	ENSG00000121316
LBW242	ENSG00000168269
LBW242	ENSG00000138771
LBW242	ENSG00000257138
LBW242	ENSG00000175470
LBW242	ENSG00000028277
LBW242	ENSG00000178531
LBW242	ENSG00000001461
LBW242	ENSG00000168556
LBW242	ENSG00000103126
LBW242	ENSG00000113889
LBW242	LOC100506286
LBW242	ENSG00000151491
LBW242	ENSG00000104899
LBW242	ENSG00000057608
LBW242	ENSG00000133067
LBW242	ENSG00000198046
LBW242	C19orf46
LBW242	ENSG00000196792
LBW242	XGPY2
LBW242	ENSG00000122592
LBW242	ENSG00000250254
LBW242	ENSG00000163762
LBW242	ENSG00000133800
LBW242	ENSG00000198929
LBW242	ENSG00000169896
LBW242	ENSG00000176809
LBW242	ENSG00000136160
LBW242	ENSG00000122779
LBW242	ENSG00000061273
LBW242	ENSG00000197558
LBW242	ENSG00000054967
LBW242	ENSG00000163659
LBW242	ENSG00000154080
LBW242	ENSG00000234965
LBW242	ENSG00000171862
LBW242	ENSG00000177853
LBW242	ENSG00000152642
LBW242	ENSG00000088247
LBW242	ENSG00000196455
LBW242	ENSG00000230923
LBW242	ENSG00000170946
LBW242	ENSG00000103024
LBW242	ENSG00000143536
LBW242	ENSG00000157470
LBW242	ENSG00000108239
LBW242	LOC151658
LBW242	ENSG00000151413
LBW242	LOC338739
LBW242	ENSG00000185433
LBW242	ENSG00000108055
LBW242	ENSG00000115234
LBW242	ZNF673
LBW242	ENSG00000070413
LBW242	ENSG00000136146
LBW242	ENSG00000222046
LBW242	ENSG00000178935
LBW242	ENSG00000107854
LBW242	ENSG00000255150
LBW242	ENSG00000164941
LBW242	ENSG00000162755
LBW242	LOC100505806
LBW242	ENSG00000248746
LBW242	ENSG00000186889
LBW242	ENSG00000159899
LBW242	ENSG00000146433
LBW242	ENSG00000171659
LBW242	ENSG00000107831
LBW242	ENSG00000182732
LBW242	LOC100506418
LBW242	ENSG00000108107
LBW242	ENSG00000159210
LBW242	ENSG00000179148
LBW242	ENSG00000123500
LBW242	ENSG00000180329
LBW242	ENSG00000133030
LBW242	ENSG00000235927
LBW242	ENSG00000166317
LBW242	ENSG00000177181
LBW242	ENSG00000179299
LBW242	ENSG00000197170
LBW242	ENSG00000134278
LBW242	LOC255167
LBW242	ENSG00000119574
LBW242	ENSG00000132471
LBW242	ENSG00000155636
LBW242	ENSG00000101654
LBW242	ENSG00000186577
